"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"12","Henniez","Henniez","Henniez","VD",75.714285714,"Henniez","Henniez","Henniez","VD","VD","VD",75.714285714,75.714285714,75.714285714
"13","Bister","Bister","Bister","VS",75,"Bister","Bister","Bister","VS","VS","VS",75,75,75
"14","Vevey","Vevey","Vevey","VD",74.732644553,"Vevey","Vevey","Vevey","VD","VD","VD",74.732644553,74.732644553,74.732644553
"15","Moiry","Moiry","Moiry","VD",74.705882353,"Moiry","Moiry","Moiry","VD","VD","VD",74.705882353,74.705882353,74.705882353
"16","Mutrux","Mutrux","Mutrux","VD",74.603174603,"Mutrux","Mutrux","Mutrux","VD","VD","VD",74.603174603,74.603174603,74.603174603
"17","Tschappina","Tschappina","Tschappina","GR",74.157303371,"Tschappina","Tschappina","Tschappina","GR","GR","GR",74.157303371,74.157303371,74.157303371
"18","Orges","Orges","Orges","VD",74.096385542,"Orges","Orges","Orges","VD","VD","VD",74.096385542,74.096385542,74.096385542
"19","Clarmont","Clarmont","Clarmont","VD",73.75,"Clarmont","Clarmont","Clarmont","VD","VD","VD",73.75,73.75,73.75
"20","Prévondavaux","Prévondavaux","Prévondavaux","FR",73.684210526,"Prévondavaux","Prévondavaux","Prévondavaux","FR","FR","FR",73.684210526,73.684210526,73.684210526
"21","Muntogna da Schons","Muntogna da Schons","Muntogna da Schons","GR",73.544973545,"Muntogna da Schons","Muntogna da Schons","Muntogna da Schons","GR","GR","GR",73.544973545,73.544973545,73.544973545
"22","Chapelle (Glâne)","Chapelle (Glâne)","Chapelle (Glâne)","FR",73.529411765,"Chapelle (Glâne)","Chapelle (Glâne)","Chapelle (Glâne)","FR","FR","FR",73.529411765,73.529411765,73.529411765
"23","Castaneda","Castaneda","Castaneda","GR",73.484848485,"Castaneda","Castaneda","Castaneda","GR","GR","GR",73.484848485,73.484848485,73.484848485
"24","Santa Maria in Calanca","Santa Maria in Calanca","Santa Maria in Calanca","GR",73.4375,"Santa Maria in Calanca","Santa Maria in Calanca","Santa Maria in Calanca","GR","GR","GR",73.4375,73.4375,73.4375
"25","Les Enfers","Les Enfers","Les Enfers","JU",73.417721519,"Les Enfers","Les Enfers","Les Enfers","JU","JU","JU",73.417721519,73.417721519,73.417721519
"26","Lausanne","Lausanne","Losanna","VD",73.276287642,"Lausanne","Lausanne","Losanna","VD","VD","VD",73.276287642,73.276287642,73.276287642
"27","Bettmeralp","Bettmeralp","Bettmeralp","VS",72.995780591,"Bettmeralp","Bettmeralp","Bettmeralp","VS","VS","VS",72.995780591,72.995780591,72.995780591
"28","Chavannes-près-Renens","Chavannes-près-Renens","Chavannes-près-Renens","VD",72.594558726,"Chavannes-près-Renens","Chavannes-près-Renens","Chavannes-près-Renens","VD","VD","VD",72.594558726,72.594558726,72.594558726
"29","Bretonnières","Bretonnières","Bretonnières","VD",72.222222222,"Bretonnières","Bretonnières","Bretonnières","VD","VD","VD",72.222222222,72.222222222,72.222222222
"30","Rüti bei Lyssach","Rüti bei Lyssach","Rüti bei Lyssach","BE",72.164948454,"Rüti bei Lyssach","Rüti bei Lyssach","Rüti bei Lyssach","BE","BE","BE",72.164948454,72.164948454,72.164948454
"31","Renens (VD)","Renens VD","Renens VD","VD",72.15370019,"Renens (VD)","Renens VD","Renens VD","VD","VD","VD",72.15370019,72.15370019,72.15370019
"32","Bienne","Biel BE","Biel BE","BE",72.121958731,"Bienne","Biel BE","Biel BE","BE","BE","BE",72.121958731,72.121958731,72.121958731
"33","Medel (Lucmagn)","Medel (Lucmagn)","Medel (Lucmagn)","GR",71.962616822,"Medel (Lucmagn)","Medel (Lucmagn)","Medel (Lucmagn)","GR","GR","GR",71.962616822,71.962616822,71.962616822
"34","Astano","Astano","Astano","TI",71.590909091,"Astano","Astano","Astano","TI","TI","TI",71.590909091,71.590909091,71.590909091
"35","Winterthour","Winterthur","Winterthur","ZH",71.573112319,"Winterthour","Winterthur","Winterthur","ZH","ZH","ZH",71.573112319,71.573112319,71.573112319
"36","Saignelégier","Saignelégier","Saignelégier","JU",71.563236449,"Saignelégier","Saignelégier","Saignelégier","JU","JU","JU",71.563236449,71.563236449,71.563236449
"37","Masein","Masein","Masein","GR",71.535580524,"Masein","Masein","Masein","GR","GR","GR",71.535580524,71.535580524,71.535580524
"38","Longirod","Longirod","Longirod","VD",71.489361702,"Longirod","Longirod","Longirod","VD","VD","VD",71.489361702,71.489361702,71.489361702
"39","Oltingen","Oltingen","Oltingen","BL",71.33105802,"Oltingen","Oltingen","Oltingen","BL","BL","BL",71.33105802,71.33105802,71.33105802
"40","Veysonnaz","Veysonnaz","Veysonnaz","VS",71.161048689,"Veysonnaz","Veysonnaz","Veysonnaz","VS","VS","VS",71.161048689,71.161048689,71.161048689
"41","Fribourg","Freiburg","Friburgo","FR",71.056218058,"Fribourg","Freiburg","Friburgo","FR","FR","FR",71.056218058,71.056218058,71.056218058
"42","Les Bois","Les Bois","Les Bois","JU",70.892857143,"Les Bois","Les Bois","Les Bois","JU","JU","JU",70.892857143,70.892857143,70.892857143
"43","Fey","Fey","Fey","VD",70.870870871,"Fey","Fey","Fey","VD","VD","VD",70.870870871,70.870870871,70.870870871
"44","Le Noirmont","Le Noirmont","Le Noirmont","JU",70.842824601,"Le Noirmont","Le Noirmont","Le Noirmont","JU","JU","JU",70.842824601,70.842824601,70.842824601
"45","Démoret","Démoret","Démoret","VD",70.833333333,"Démoret","Démoret","Démoret","VD","VD","VD",70.833333333,70.833333333,70.833333333
"46","Prilly","Prilly","Prilly","VD",70.810481414,"Prilly","Prilly","Prilly","VD","VD","VD",70.810481414,70.810481414,70.810481414
"47","Grengiols","Grengiols","Grengiols","VS",70.731707317,"Grengiols","Grengiols","Grengiols","VS","VS","VS",70.731707317,70.731707317,70.731707317
"48","Massonnens","Massonnens","Massonnens","FR",70.588235294,"Massonnens","Massonnens","Massonnens","FR","FR","FR",70.588235294,70.588235294,70.588235294
"49","Etagnières","Etagnières","Etagnières","VD",70.563674322,"Etagnières","Etagnières","Etagnières","VD","VD","VD",70.563674322,70.563674322,70.563674322
"50","Montpreveyres","Montpreveyres","Montpreveyres","VD",70.411985019,"Montpreveyres","Montpreveyres","Montpreveyres","VD","VD","VD",70.411985019,70.411985019,70.411985019
