"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de non","Nein in %","Percentuale di no"
"21","Hasle (LU)","Hasle LU","Hasle LU","LU",16.907216495,"Hasle (LU)","Hasle LU","Hasle LU","LU","LU","LU",83.092783505,83.092783505,83.092783505
"22","Gonten","Gonten","Gonten","AI",16.951566952,"Gonten","Gonten","Gonten","AI","AI","AI",83.048433048,83.048433048,83.048433048
"23","Rossa","Rossa","Rossa","GR",17.021276596,"Rossa","Rossa","Rossa","GR","GR","GR",82.978723404,82.978723404,82.978723404
"24","Adelboden","Adelboden","Adelboden","BE",17.075564279,"Adelboden","Adelboden","Adelboden","BE","BE","BE",82.924435721,82.924435721,82.924435721
"25","Rivaz","Rivaz","Rivaz","VD",17.24137931,"Rivaz","Rivaz","Rivaz","VD","VD","VD",82.75862069,82.75862069,82.75862069
"26","Vufflens-le-Château","Vufflens-le-Château","Vufflens-le-Château","VD",17.302798982,"Vufflens-le-Château","Vufflens-le-Château","Vufflens-le-Château","VD","VD","VD",82.697201018,82.697201018,82.697201018
"27","Muotathal","Muotathal","Muotathal","SZ",17.451523546,"Muotathal","Muotathal","Muotathal","SZ","SZ","SZ",82.548476454,82.548476454,82.548476454
"28","Féchy","Féchy","Féchy","VD",17.543859649,"Féchy","Féchy","Féchy","VD","VD","VD",82.456140351,82.456140351,82.456140351
"29","Blatten","Blatten","Blatten","VS",17.582417582,"Blatten","Blatten","Blatten","VS","VS","VS",82.417582418,82.417582418,82.417582418
"30","Dizy","Dizy","Dizy","VD",17.924528302,"Dizy","Dizy","Dizy","VD","VD","VD",82.075471698,82.075471698,82.075471698
"31","Flühli","Flühli","Flühli","LU",17.997977755,"Flühli","Flühli","Flühli","LU","LU","LU",82.002022245,82.002022245,82.002022245
"32","Chavannes-sur-Moudon","Chavannes-sur-Moudon","Chavannes-sur-Moudon","VD",18.085106383,"Chavannes-sur-Moudon","Chavannes-sur-Moudon","Chavannes-sur-Moudon","VD","VD","VD",81.914893617,81.914893617,81.914893617
"33","Saas-Almagell","Saas-Almagell","Saas-Almagell","VS",18.143459916,"Saas-Almagell","Saas-Almagell","Saas-Almagell","VS","VS","VS",81.856540084,81.856540084,81.856540084
"34","Duillier","Duillier","Duillier","VD",18.181818182,"Duillier","Duillier","Duillier","VD","VD","VD",81.818181818,81.818181818,81.818181818
"35","Les Planchettes","Les Planchettes","Les Planchettes","NE",18.181818182,"Les Planchettes","Les Planchettes","Les Planchettes","NE","NE","NE",81.818181818,81.818181818,81.818181818
"36","Ormont-Dessus","Ormont-Dessus","Ormont-Dessus","VD",18.316831683,"Ormont-Dessus","Ormont-Dessus","Ormont-Dessus","VD","VD","VD",81.683168317,81.683168317,81.683168317
"37","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","VD",18.390804598,"Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","VD","VD","VD",81.609195402,81.609195402,81.609195402
"38","Bure","Bure","Bure","JU",18.390804598,"Bure","Bure","Bure","JU","JU","JU",81.609195402,81.609195402,81.609195402
"39","Bursins","Bursins","Bursins","VD",18.481848185,"Bursins","Bursins","Bursins","VD","VD","VD",81.518151815,81.518151815,81.518151815
"40","Rothenthurm","Rothenthurm","Rothenthurm","SZ",18.51556265,"Rothenthurm","Rothenthurm","Rothenthurm","SZ","SZ","SZ",81.48443735,81.48443735,81.48443735
"41","Essertines-sur-Rolle","Essertines-sur-Rolle","Essertines-sur-Rolle","VD",18.571428571,"Essertines-sur-Rolle","Essertines-sur-Rolle","Essertines-sur-Rolle","VD","VD","VD",81.428571429,81.428571429,81.428571429
"42","Echandens","Echandens","Echandens","VD",18.650793651,"Echandens","Echandens","Echandens","VD","VD","VD",81.349206349,81.349206349,81.349206349
"43","Chavannes-le-Veyron","Chavannes-le-Veyron","Chavannes-le-Veyron","VD",18.666666667,"Chavannes-le-Veyron","Chavannes-le-Veyron","Chavannes-le-Veyron","VD","VD","VD",81.333333333,81.333333333,81.333333333
"44","Vinzel","Vinzel","Vinzel","VD",18.75,"Vinzel","Vinzel","Vinzel","VD","VD","VD",81.25,81.25,81.25
"45","Mollens (VD)","Mollens VD","Mollens VD","VD",18.852459016,"Mollens (VD)","Mollens VD","Mollens VD","VD","VD","VD",81.147540984,81.147540984,81.147540984
"46","Hergiswil bei Willisau","Hergiswil bei Willisau","Hergiswil bei Willisau","LU",18.867924528,"Hergiswil bei Willisau","Hergiswil bei Willisau","Hergiswil bei Willisau","LU","LU","LU",81.132075472,81.132075472,81.132075472
"47","Eclépens","Eclépens","Eclépens","VD",19.015659955,"Eclépens","Eclépens","Eclépens","VD","VD","VD",80.984340045,80.984340045,80.984340045
"48","Villars-le-Terroir","Villars-le-Terroir","Villars-le-Terroir","VD",19.099099099,"Villars-le-Terroir","Villars-le-Terroir","Villars-le-Terroir","VD","VD","VD",80.900900901,80.900900901,80.900900901
"49","Romanel-sur-Morges","Romanel-sur-Morges","Romanel-sur-Morges","VD",19.117647059,"Romanel-sur-Morges","Romanel-sur-Morges","Romanel-sur-Morges","VD","VD","VD",80.882352941,80.882352941,80.882352941
"50","Bogis-Bossey","Bogis-Bossey","Bogis-Bossey","VD",19.133574007,"Bogis-Bossey","Bogis-Bossey","Bogis-Bossey","VD","VD","VD",80.866425993,80.866425993,80.866425993
